country,confirmed_cases,probable_cases,suspected_cases,confirmed_deaths,probable_deaths,suspected_deaths
Guinea,664,151,47,400,151,4
Liberia,634,969,443,508,420,296
Sierra Leone,1234,37,90,461,37,11
Nigeria,19,1,1,7,1,0
Senegal,1,0,2,0,0,0
