country,confirmed_cases,probable_cases,suspected_cases,confirmed_deaths,probable_deaths,suspected_deaths
Guinea,226,19,44,117,19,1
Liberia,414,444,179,253,199,171
Sierra Leone,396,0,37,127,3,6
Nigeria,7,0,2,3,1,0
Senegal,1,0,0,0,0,0
