country,confirmed_cases,probable_cases,suspected_cases,confirmed_deaths,probable_deaths,suspected_deaths
Guinea,604,152,56,362,152,3
Liberia,614,888,369,431,401,257
Sierra Leone,1146,37,78,443,37,11
Nigeria,18,1,3,7,1,0
Senegal,1,0,0,0,0,0
