country,confirmed_cases,probable_cases,suspected_cases,confirmed_deaths,probable_deaths,suspected_deaths
Guinea,276,21,11,,,
Liberia,546,539,298,,,
Sierra Leone,583,0,70,,,
Nigeria,6,0,,,,
Senegal,1,0,0,,,
