country,confirmed_cases,probable_cases,suspected_cases,confirmed_deaths,probable_deaths,suspected_deaths
Guinea,482,141,25,287,141,2
Liberia,322,674,382,225,301,168
Sierra Leone,935,37,54,380,34,8
Nigeria,15,1,3,6,1,0
Senegal,0,0,0,0,0,0
